group_name,pNN50,RMSSD,HR_mean,HR_std,lfhf,lf,hf
19-maths,0.0,0.014641373529469441,0.2408845622742147,0.0147855515712762,1.0,0.6276255714095764,0.020091835579654636
20-sitting,0.10213928083750569,0.06179610455834538,0.23883327151953626,0.03082813954946629,0.13575086834915828,0.6685075288921888,0.36003717487807413
20-maths,0.03293139293139293,0.07568209445715741,0.33146753893949465,0.08712505427498564,0.032674355700731066,0.30620077780375776,0.5661185731854933
21-sitting,0.3384615384615384,0.09961229074065825,0.08118397576280133,0.0352662867719309,0.1754126616274143,0.795446257009708,0.3330003917390921
21-maths,0.2891025641025641,0.07511912304358444,0.09494079199904448,0.019337737112198907,0.11366988605902878,0.6168023879237997,0.39352186646414705
22-sitting,0.043908523908523914,0.035085833072443055,0.3219912774757331,0.030524051642179518,0.31624951060612183,0.47092230965511783,0.09920704376378009
22-maths,0.03257918552036199,0.03637766133159714,0.3403106752518826,0.02890346765655259,0.2744707333833761,0.5048586776459474,0.12800122153094612
23-sitting,0.11051805337519623,0.05082318622627099,0.11271658948932871,0.017983104245566626,0.15065501216962882,0.3534163498463737,0.17482375487158397
23-maths,0.00534412955465587,0.02347576796226692,0.3513750874695123,0.030236622976642345,0.2181665906158001,0.32933089535857124,0.10663531143133649
24-sitting,0.1060849598163031,0.050636154768062804,0.03749000118985687,0.0,0.14698926928139483,0.7258886128026683,0.3615523187669183
24-maths,0.14402618657937807,0.17012804700959855,0.09326810383977271,0.23251788952954572,0.0,0.17996062981298966,1.0
